pix2pix, tv, bilat, wavelet
2225.77107692, 6162.62676869, 6389.32274223, 6802.56854645, 
905.314229178, 7946.48286871, 8214.06378398, 8285.19317916, 
1413.78927029, 2222.8511735, 3709.9421013, 4492.05252508, 
7254.71295263, 5417.47575817, 5815.1028889, 6240.37897688, 
1135.62633306, 3247.81953002, 4422.04089237, 5154.6103787, 
1464.50328054, 4480.65712246, 4986.42271434, 5625.84501873, 
1069.72526462, 3717.69767852, 4801.42676971, 5582.95933308, 
7120.19915209, 3474.13448209, 4510.47095502, 5181.57024048, 
6603.06576194, 6975.57123725, 7076.71171948, 7446.0382134, 
2741.06459083, 2486.24940594, 3885.12800379, 4667.56786996, 
1436.75396963, 7503.60312238, 7798.59092031, 7797.77078535, 
1174.97641295, 3692.69388593, 4653.99356584, 5323.69042956, 
3666.38524971, 5770.60723106, 6014.87797222, 6457.54749308, 
710.86381982, 2656.00234123, 4054.11450778, 4795.80222637, 
1261.56431024, 8304.15313249, 8396.22083677, 8587.15963593, 
850.494716939, 1961.26061961, 3566.15999828, 4283.43329808, 
